ID,RetweetCt,Polarity,Subjectivity,CreatedTime,CreatedDay,TextLength,WordCt,AccountAgeMo,UserFollowersCt,Keywords,HasLinks
"""850070002254307328""",0,0.0,0.0,13:37,Thu,40,4,35,120661,"['@ronaldnieto', '@miakhalifa', 'ronnieeeee']",False
"""850015216096092160""",302,0.0,0.0,09:59,Thu,14,3,35,120661,"['need', 'nuggets']",True
"""850001285570977793""",122,0.0,0.0,09:04,Thu,17,2,35,120661,"['wyd', '@theellenshow']",False
"""850000099107250176""",4,0.0,0.0,08:59,Thu,18,2,35,120661,"['@itslilkodatt', 'deal']",False
"""849977678870437893""",2,0.4,0.8,07:30,Thu,42,6,35,120661,"['@angelxkisses', 'course', 'free', 'nuggets']",False
"""849952596362227714""",30,0.037500000000000006,0.4875,05:51,Thu,113,21,35,120661,"['@wendys', 'came', 'negotiate', 'let', 'make', 'never', 'eat', 'other', 'fast', 'food', 'restaurants', 'ever', 'again']",False
"""849949532846567424""",39,0.0,0.0,05:38,Thu,36,6,35,120661,"['@calvin_luu', 'elf', 'deal']",False
"""849949186954940416""",408,0.0,0.0,05:37,Thu,49,7,35,120661,"['@tmbles', '@__legend', 'making', 'history', 'over']",False
"""849869092659920896""",3,0.31111111111111117,0.4888888888888889,00:19,Thu,124,24,35,120661,"['@nohoesjesse', 'totally', 'honest', 'man', 'think', 'get', 'more', 'less', 'followers']",False
"""849866937530175491""",0,0.0,0.0,00:10,Thu,19,3,35,120661,"['@_berniee_', 'trash']",False
"""849866885298442241""",0,0.13636363636363635,0.5,00:10,Thu,37,7,35,120661,"['@kaybetooshort', 'live']",False
"""849866468980252672""",18,0.0,0.0,00:08,Thu,32,6,35,120661,"['@torisaaangs', 'see']",False
"""849862028109897729""",0,0.5,1.0,23:51,Wed,35,6,35,120661,"['@candaceleigh', 'glad', 'share']",False
"""849859201027276800""",84,0.0,0.0,23:39,Wed,61,10,35,120661,"['@turtie', '@kingsharpyy', 'negotiate', 'mil', 'stretch']",False
"""849854526202888192""",0,0.0,0.0,23:21,Wed,17,2,35,120661,"['@colvworld', 'smh']",False
"""849854402429034497""",123,0.4,0.8,23:20,Wed,52,10,35,120661,"['@denlib', 'free', 'nuggs', 'year', 'hell', 'yea', 'share']",False
"""849853029960499202""",128,0.8,0.75,23:15,Wed,31,6,35,120661,"['@kmarieg_', 'great', 'plan']",False
"""849849718297346048""",2,0.0,0.0,23:02,Wed,34,7,35,120661,"['@szn_', 'got', 'elf', 'deal']",False
"""849849142201401345""",4,0.25,0.3333333333333333,22:59,Wed,58,9,35,120661,"['@fulwiley_', 'first', 'everything', 'man', 'just', 'wait']",False
"""849813577770778624""",3583724,0.0,0.0,20:38,Wed,37,8,35,120661,"['help', 'please', 'man', 'needs', 'nuggs']",True
"""849812166693724160""",5718,0.0,0.0,20:33,Wed,24,4,35,120661,"['@wendys', 'consider', 'done']",False
"""849811828766949376""",107145,0.10000000000000002,0.75,20:31,Wed,64,12,35,120661,"['@wendys', 'many', 'retweets', 'year', 'free', 'chicken', 'nuggets']",False
"""842452121815408640""",6,0.0,0.0,13:06,Thu,12,1,35,120661,['astronomical'],False
"""841449905973485569""",5,0.0,0.0,18:44,Mon,41,7,35,120661,"['@mcdonalds', 'fix', 'ice', 'cream', 'machines', 'bruh']",False
"""840953005084033024""",5,0.0,0.0,09:49,Sun,18,3,35,120661,"['spring', 'break', 'wya']",False
"""840449423431815168""",1,-0.5,0.4,23:28,Fri,48,10,35,120661,"['beat', 'tony', 'game', 'soccer', 'stars', '@miniclip']",True
"""838512778474184704""",0,0.0,0.5,15:13,Sun,47,8,35,120661,"['alright', 'reno', 'enough', 'snow', 'winter']",False
"""836223265131507712""",0,0.0,0.0,07:35,Mon,12,2,35,120661,['oscar'],False
"""835262948842975234""",0,0.0,0.0,15:59,Fri,22,4,35,120661,"['people', 'spoken']",True
"""834937992850481152""",3,0.2,0.4,18:28,Thu,52,9,35,120661,"['just', 'ate', 'whole', 'box', 'thinmints', 'bouta', 'get', 'diabetes']",False
"""834903218580750337""",0,0.5,0.5,16:10,Thu,37,6,35,120661,"['all', 'better', 'choosing', 'nacho', 'cheese']",True
"""834856719603888128""",1,0.0,0.0,13:05,Thu,15,2,35,120661,"['doritos', 'flavors']",False
"""832962694781218818""",0,-0.1875,0.5,07:39,Sat,30,6,35,120661,"['little', 'things', 'life']",False
"""832555878612021249""",0,0.0,0.0,04:42,Fri,24,5,35,120661,['guess'],False
"""832435072808665089""",18,-0.5916666666666667,0.8166666666666668,20:42,Thu,130,18,35,120661,"['list', 'skills', 'going', 'sleep', 'waking', 'overthinking', 'dumb', 'saying', 'stupid', 'things', 'eating', 'chicken', 'nuggets']",False
"""829886692689588228""",0,0.0,0.0,19:56,Thu,16,2,35,120661,"['@ok_kenna', 'spky']",False
"""829850505224605696""",1,0.14285714285714285,0.29285714285714287,17:32,Thu,43,7,35,120661,"['right', 'outside', 'neighborhood', 'damn']",True
"""828600130928467970""",2,0.8,0.75,06:44,Mon,46,10,35,120661,"['blessed', 'great', 'people', 'life']",False
"""828088694032723973""",3,-0.16666666666666666,0.8333333333333334,20:51,Sat,83,13,35,120661,"['jalepe', 'chicken', 'fries', '@burgerking', 'good', '@wendys', 'nuggs']",False
"""827617365714104320""",1,0.8,1.0,13:38,Fri,29,4,35,120661,"['happy', 'birthday', 'dad', '@qgwaltney']",False
"""826291044430012416""",1,0.0,0.0,21:48,Mon,31,7,35,120661,"['just', 'prank', 'guys', 'chill']",False
"""825566256279347201""",160,0.0,0.0,21:48,Sat,36,7,35,120661,"['retweet', 'delete', 'twitter']",False
